-309	-44	-536
-293	-29	-485
-293	48	-437
-300	131	-391
-327	200	-366
-345	213	-354
-345	208	-354
-319	191	-363
-292	133	-363
-265	83	-352
-242	33	-318
-205	-16	-268
-165	-54	-224
-131	-68	-184
-116	-79	-140
-112	-103	-88
-109	-130	-29
-107	-158	34
-107	-180	100
-102	-201	169
-99	-221	238
-96	-237	291
-69	-275	330
-29	-331	357
40	-434	394
106	-561	454
183	-697	531
241	-789	607
280	-830	677
296	-869	762
301	-932	881
306	-989	1027
312	-1019	1189
311	-1019	1362
297	-1009	1536
298	-976	1686
300	-946	1823
329	-925	1944
402	-923	2068
480	-921	2174
528	-912	2266
553	-885	2339
565	-862	2409
580	-862	2487
606	-874	2572
647	-960	2657
684	-1074	2730
684	-1147	2775
682	-1147	2794
655	-1143	2794
611	-1079	2779
571	-994	2730
520	-889	2630
487	-798	2486
464	-777	2317
455	-777	2155
458	-782	2016
505	-782	1896
523	-764	1780
522	-668	1644
520	-505	1476
463	-312	1266
417	-177	1034
368	-129	807
290	-119	612
183	-112	456
78	-96	338
-7	-32	253
-60	58	190
-92	105	121
