-167	-517	-73
-167	-565	-85
-155	-606	-85
-161	-606	-90
-158	-546	-88
-155	-415	-74
-168	-238	-66
-180	-174	-62
-180	-174	-23
-179	-176	13
-183	-225	45
-201	-245	46
-236	-259	47
-289	-276	52
-332	-266	65
-363	-265	92
-382	-227	112
-409	-134	112
-462	-13	106
-541	71	83
-629	109	63
-708	122	57
-768	153	38
-816	193	14
-847	238	-23
-871	254	-50
-908	254	-79
-980	222	-124
-1079	115	-195
-1195	-44	-281
-1293	-169	-338
-1359	-210	-369
-1411	-210	-385
-1425	-167	-410
-1458	-106	-450
-1487	-40	-491
-1514	-40	-528
-1569	-97	-546
-1569	-103	-603
-1531	-103	-678
-1422	-93	-780
-1270	-75	-839
-1270	-75	-839
-1219	-252	-834
-1149	-371	-795
-1076	-371	-727
-1036	-299	-672
-901	-14	-618
-845	251	-560
-807	419	-488
-764	461	-399
-718	461	-318
-666	433	-262
-582	376	-220
-462	318	-182
-356	213	-146
-271	92	-108
-199	-20	-70
-142	-111	-34
-98	-181	2
-64	-215	46
-28	-215	97
10	-210	149
49	-198	201
92	-198	255
124	-221	315
144	-248	372
144	-260	425
144	-269	472
138	-251	528
110	-246	572
50	-246	624
6	-281	679
-9	-301	756
-14	-320	837
4	-320	915
4	-287	985
-4	-219	1051
-4	-102	1120
-5	32	1194
-21	167	1269
-35	241	1292
-40	241	1292
-40	228	1265
-33	103	1191
26	-6	1136
123	-53	1105
221	-57	1092
268	-33	1069
268	-10	1025
250	2	948
182	-1	858
112	-19	763
12	-69	695
-128	-216	638
-146	-373	558
-146	-476	416
22	-476	238
286	-472	70
403	-353	-5
403	-219	-10
325	-59	-10
170	74	33
18	197	81
-100	318	125
-184	437	151
-232	545	151
-248	628	125
