-89	-66	-36
-91	-49	-37
-86	-32	-47
-86	-41	-47
-116	-63	-40
-159	-113	-26
-202	-158	-3
-202	-158	-3
-199	-158	-3
-181	-150	-27
-142	-123	-53
-109	-86	-71
-89	-39	-81
-85	-31	-85
-85	-31	-85
-91	-69	-76
-101	-120	-55
-116	-144	-32
-118	-144	-30
-118	-122	-30
-84	-97	-57
-32	-76	-79
11	-66	-85
17	-62	-85
17	-63	-72
6	-62	-66
-5	-63	-66
-5	-69	-75
3	-108	-98
41	-195	-109
74	-327	-109
81	-410	-106
81	-410	-105
37	-403	-105
-27	-306	-129
-95	-196	-166
-155	-125	-188
-206	-103	-196
-249	-103	-196
-277	-119	-199
-302	-135	-215
-336	-135	-252
-391	-130	-312
-459	-87	-383
-526	-9	-449
-581	96	-499
-620	198	-536
-640	274	-569
-651	303	-602
-658	308	-635
-692	317	-670
-745	320	-704
-824	339	-746
-883	374	-795
-923	405	-851
-933	424	-908
-940	438	-970
-953	451	-1035
-977	460	-1099
-997	460	-1150
-1011	429	-1170
-1018	361	-1170
-1015	269	-1159
-1014	194	-1149
-993	133	-1149
-940	78	-1154
-871	45	-1158
-795	45	-1158
-708	78	-1120
-612	198	-1026
-503	377	-884
-392	550	-709
-298	636	-533
-232	636	-384
-180	598	-282
-134	454	-214
-74	283	-167
-5	179	-120
59	152	-71
106	151	-14
123	159	40
131	159	89
131	141	133
127	85	178
122	20	223
103	-48	268
73	-115	312
27	-183	359
-24	-245	403
-75	-309	450
-128	-377	512
-197	-452	609
-298	-452	730
-422	-447	849
-547	-361	926
-638	-318	949
-675	-318	949
-675	-413	944
-682	-575	941
-682	-593	941
-693	-593	950
-734	-463	957
-781	-307	959
-798	-257	960
-798	-257	959
-780	-240	955
-760	-240	933
-749	-196	891
-742	-102	833
-724	-72	772
-688	-72	715
-626	-112	676
-582	-147	658
-553	-147	652
-541	-114	645
-515	-24	630
-474	44	592
-427	90	530
-382	111	451
-345	129	367
-300	129	286
-258	120	211
-206	107	143
-150	95	86
-92	89	36
-43	89	1
-1	92	-15
40	105	-16
75	118	-16
91	123	-10
91	123	-10
81	120	-16
63	114	-24
55	111	-27
55	112	-27
66	112	-15
90	91	0
122	54	0
164	14	-2
207	8	-8
241	8	-8
