1517	625	-195
1427	592	-202
1348	556	-226
1266	528	-246
1193	519	-259
1123	504	-263
1080	490	-263
1047	457	-262
993	425	-255
902	379	-247
795	332	-243
685	283	-243
594	241	-259
518	217	-280
461	191	-280
427	167	-279
402	129	-240
382	80	-170
351	18	-85
298	-43	-5
223	-99	68
126	-161	129
18	-232	179
-86	-336	228
-175	-446	281
-240	-535	347
-295	-590	426
-356	-633	519
-422	-715	619
-496	-830	710
-577	-958	787
-667	-1046	843
-759	-1075	891
-841	-1075	937
-905	-1052	984
-951	-1043	1041
-984	-1043	1090
-1032	-1056	1124
-1107	-1106	1131
-1223	-1163	1131
-1367	-1206	1128
-1524	-1206	1122
-1651	-1184	1099
-1697	-1102	1058
-1697	-1033	1006
-1665	-1019	941
-1608	-1019	863
-1593	-1051	774
-1593	-1055	700
-1638	-1055	649
-1729	-1012	606
-1819	-907	561
-1845	-789	501
-1845	-675	425
-1780	-588	333
-1654	-525	229
-1503	-497	137
-1390	-486	65
-1355	-467	21
-1355	-445	-5
-1415	-401	-26
-1517	-338	-52
-1568	-261	-99
-1568	-201	-168
-1539	-151	-262
-1444	-97	-369
-1330	-48	-471
-1249	-18	-556
-1211	18	-629
-1211	83	-707
-1203	196	-799
-1182	323	-891
-1119	448	-980
-992	561	-1062
-829	655	-1138
-659	740	-1207
-530	809	-1295
-425	870	-1341
-302	922	-1364
-180	963	-1366
-84	1007	-1342
-34	1042	-1342
13	1105	-1340
134	1105	-1338
278	1084	-1321
470	1030	-1277
604	949	-1199
722	926	-1088
795	917	-962
857	911	-827
913	902	-693
985	868	-564
1056	805	-438
1113	725	-313
1130	644	-180
1130	577	-41
1113	531	102
1089	508	242
1086	483	370
1086	434	483
1103	352	576
1109	241	656
1109	100	731
1081	-12	798
1014	-103	863
917	-141	921
813	-177	971
718	-192	1014
642	-215	1049
584	-252	1080
528	-322	1106
458	-400	1123
361	-468	1135
233	-528	1136
96	-574	1136
-31	-621	1134
-132	-662	1134
-213	-709	1133
-291	-761	1132
-377	-801	1127
-470	-824	1113
-559	-830	1089
-634	-830	1055
-679	-829	1012
-689	-815	954
-689	-790	889
-678	-744	819
-668	-693	746
-668	-646	676
-667	-609	611
-667	-572	556
-667	-525	505
-660	-472	451
-649	-417	390
-619	-357	327
-564	-299	272
-489	-246	224
-414	-211	203
-362	-211	203
-327	-230	207
-289	-211	227
-206	-190	227
