29	-256	-163
28	-206	-123
11	-206	-123
-5	-230	-127
-5	-317	-162
-5	-442	-206
0	-572	-238
23	-665	-257
59	-718	-257
94	-747	-235
119	-747	-186
123	-734	-138
136	-684	-117
165	-610	-113
219	-575	-114
284	-567	-117
342	-559	-123
386	-546	-141
430	-527	-165
490	-502	-197
576	-477	-240
681	-465	-291
797	-459	-341
893	-452	-386
944	-452	-424
944	-444	-460
944	-431	-501
913	-409	-561
880	-405	-647
855	-405	-759
838	-422	-889
816	-453	-1024
778	-463	-1149
716	-463	-1252
632	-442	-1332
528	-397	-1401
413	-340	-1480
296	-278	-1581
174	-221	-1695
42	-168	-1792
-91	-110	-1852
-219	-45	-1865
-333	25	-1865
-440	96	-1844
-549	161	-1801
-666	220	-1755
-781	274	-1711
-885	324	-1666
-984	374	-1612
-1092	426	-1536
-1196	477	-1433
-1309	526	-1305
-1382	565	-1151
-1423	624	-986
-1431	701	-815
-1444	788	-644
-1440	872	-478
-1416	917	-304
-1380	917	-129
-1301	917	41
-1222	866	199
-1114	794	342
-974	704	498
-830	598	668
-663	489	851
-492	393	1026
-305	311	1181
-158	223	1316
-49	116	1430
15	-13	1521
67	-147	1571
108	-239	1571
148	-267	1563
195	-274	1495
247	-285	1389
274	-289	1269
274	-321	1140
259	-376	999
206	-408	838
150	-408	646
102	-405	428
83	-368	209
83	-317	11
83	-271	-164
105	-246	-325
128	-242	-473
143	-241	-606
143	-239	-726
131	-237	-836
84	-212	-932
12	-154	-1017
-67	-73	-1089
-137	25	-1158
-192	129	-1228
-233	203	-1301
-273	230	-1366
-324	230	-1414
-394	224	-1439
-478	212	-1439
-569	212	-1438
-653	216	-1411
-730	231	-1365
-797	280	-1313
-858	351	-1256
-909	427	-1198
-954	480	-1134
-995	504	-1064
-1032	514	-979
-1063	518	-879
-1077	532	-770
-1077	552	-659
-1068	572	-544
-1037	572	-416
-991	564	-268
-934	551	-104
-867	550	68
-800	550	236
-727	569	397
-654	579	550
-578	579	689
-501	572	811
-414	545	923
-316	522	1038
-209	514	1162
-104	514	1287
8	525	1402
127	553	1492
258	596	1537
385	660	1537
497	726	1533
594	771	1487
654	773	1438
677	773	1402
677	720	1387
653	642	1372
615	576	1335
567	542	1275
518	542	1201
482	561	1125
482	635	1021
