-109	-204	13
-141	-249	-29
-187	-327	-49
-256	-435	-49
-286	-496	-47
-286	-521	-32
-281	-521	-16
-234	-495	0
-186	-427	1
-140	-327	1
-95	-212	-14
-51	-127	-39
-7	-91	-58
29	-91	-74
62	-100	-86
84	-124	-97
101	-153	-101
109	-193	-101
141	-272	-93
204	-360	-69
291	-453	-24
368	-518	35
423	-555	99
470	-569	153
510	-569	173
543	-558	173
583	-544	152
637	-524	98
702	-514	43
752	-487	-1
763	-435	-53
763	-366	-119
750	-304	-208
737	-259	-314
737	-221	-436
745	-191	-566
759	-174	-694
759	-161	-826
750	-140	-968
703	-115	-1120
621	-111	-1267
522	-111	-1397
418	-104	-1503
301	-104	-1594
178	-70	-1677
41	3	-1743
-70	75	-1776
-186	141	-1776
-297	207	-1774
-410	261	-1744
-483	291	-1709
-519	291	-1678
-558	291	-1647
-605	279	-1599
-662	264	-1520
-706	256	-1405
-734	256	-1241
-734	277	-1037
-744	318	-807
-744	374	-570
-748	407	-320
-752	410	-67
-762	410	175
-767	379	396
-765	332	597
-745	290	772
-712	260	919
-676	234	1046
-647	204	1165
-585	177	1282
-490	162	1394
-399	161	1479
-327	159	1519
-282	156	1519
-245	156	1509
-224	162	1466
-211	162	1385
-201	190	1243
-182	237	1040
-147	266	801
-96	266	550
-45	244	299
-2	197	48
32	160	-201
67	148	-446
99	138	-682
121	108	-904
125	53	-1106
125	-15	-1282
103	-68	-1428
62	-82	-1538
0	-82	-1613
-82	-51	-1655
-185	0	-1675
-293	54	-1684
-396	95	-1694
-496	122	-1707
-570	122	-1707
-642	122	-1699
-693	102	-1658
-741	94	-1589
-770	94	-1520
-795	109	-1457
-834	146	-1398
-875	165	-1325
-912	165	-1218
-955	168	-1055
-1003	169	-850
-1051	185	-630
-1051	253	-427
-1035	352	-224
-988	427	-19
-917	433	199
-883	433	409
-848	383	605
-819	314	784
-770	259	942
-708	221	1070
-618	190	1175
-510	156	1276
-396	113	1397
-332	78	1531
-332	78	1658
-333	79	1742
-375	120	1754
-393	159	1754
-393	159	1702
-370	143	1606
-308	88	1493
-225	24	1376
-139	8	1265
-62	8	1166
12	46	1073
83	133	980
150	218	893
209	280	814
272	329	742
335	379	668
404	404	596
478	404	556
547	417	535
571	420	521
571	445	510
