-185	-13	-15
-219	8	-17
-235	9	-29
-235	9	-40
-219	-25	-41
-186	-71	-43
-148	-119	-43
-112	-140	-46
-61	-156	-47
-17	-211	-47
-4	-242	-29
-4	-245	13
-43	-258	24
-98	-219	24
-142	-193	-17
-159	-176	-81
-159	-144	-110
-133	-62	-110
-97	-34	-95
-68	-34	-59
-68	-101	-24
-75	-233	4
-107	-325	15
-132	-344	15
-133	-347	12
-133	-343	2
-87	-320	2
-14	-270	2
72	-206	5
145	-176	4
204	-176	-5
221	-201	-37
221	-275	-86
197	-353	-136
149	-392	-184
112	-392	-233
92	-391	-286
92	-349	-347
102	-311	-432
134	-274	-546
156	-222	-685
156	-151	-837
146	-74	-998
105	-29	-1165
53	2	-1334
-8	35	-1498
-70	69	-1643
-131	104	-1752
-184	148	-1828
-235	205	-1889
-277	280	-1932
-323	334	-1935
-382	371	-1935
-452	371	-1902
-509	350	-1838
-552	304	-1765
-581	267	-1674
-618	267	-1570
-657	279	-1449
-719	330	-1313
-801	358	-1155
-887	358	-969
-931	330	-744
-931	254	-481
-921	177	-180
-868	124	149
-813	68	494
-781	20	828
-765	17	1121
-752	17	1353
-720	70	1528
-674	145	1654
-609	214	1735
-539	269	1774
-465	281	1777
-402	281	1777
-362	224	1745
-333	127	1685
-304	45	1590
-257	17	1451
-192	15	1237
-101	7	950
-3	14	623
77	20	293
114	32	-13
115	60	-294
115	76	-544
70	77	-750
8	91	-911
-79	94	-1042
-162	103	-1155
-256	149	-1245
-338	212	-1287
-436	267	-1289
-550	313	-1289
-685	354	-1261
-821	370	-1221
-953	370	-1161
-1084	343	-1076
-1199	266	-964
-1326	197	-833
-1445	162	-692
-1542	162	-549
-1592	177	-393
-1592	223	-220
-1569	288	-39
-1508	355	124
-1380	429	264
-1232	472	389
-1056	472	512
-875	472	641
-695	420	785
-515	375	948
-330	359	1109
-129	349	1223
89	333	1248
319	297	1248
551	147	1202
791	-93	1109
1021	-335	1011
1231	-462	920
1373	-462	853
1456	-444	800
1482	-338	749
1487	-253	695
1487	-249	635
1460	-249	576
1389	-305	513
1266	-351	446
1108	-366	377
938	-366	313
768	-351	260
611	-327	218
462	-293	185
322	-258	164
186	-243	154
43	-243	143
-110	-257	117
-284	-297	75
-472	-326	27
-672	-326	-16
-857	-320	-35
-1027	-274	-35
-1181	-198	-28
-1323	-109	6
-1467	-29	47
-1605	25	75
-1709	66	93
-1768	97	108
-1794	119	129
-1812	138	146
-1820	158	165
-1820	179	193
-1819	180	228
-1819	188	264
-1821	197	297
-1823	213	323
-1823	220	337
-1810	220	356
-1741	200	392
-1610	133	435
-1389	33	455
-1137	-86	455
-853	-189	447
-603	-260	417
-368	-292	384
-162	-319	353
58	-351	319
294	-370	273
554	-378	214
817	-389	142
1073	-394	53
1292	-419	-55
1437	-469	-176
1518	-478	-294
1565	-478	-395
1608	-427	-493
1639	-324	-613
1658	-228	-761
1687	-163	-925
1723	-113	-1085
1753	-51	-1241
1767	49	-1390
1767	192	-1545
1754	348	-1707
1726	492	-1869
1688	580	-2021
1657	635	-2164
1620	676	-2307
1577	769	-2463
1538	869	-2622
1515	935	-2757
1502	935	-2816
1467	918	-2816
1390	867	-2807
1266	824	-2755
1118	799	-2692
970	761	-2603
826	689	-2471
682	570	-2284
525	418	-2034
365	267	-1712
213	161	-1338
75	110	-938
-45	77	-549
-167	23	-191
-296	-63	120
-435	-174	383
-564	-296	617
-664	-408	848
-739	-414	1109
-808	-414	1400
-904	-285	1691
-1040	-53	1919
-1232	126	1987
-1459	159	1987
-1638	159	1906
-1740	13	1750
-1776	-150	1623
-1784	-193	1535
-1775	-193	1443
-1774	-80	1347
-1732	72	1250
-1732	186	1156
-1722	280	1031
-1704	386	846
-1695	470	605
-1659	504	309
-1531	504	-15
-1331	480	-358
-1041	424	-672
-692	345	-945
-316	251	-1163
37	156	-1330
326	82	-1452
548	30	-1537
730	14	-1558
905	7	-1558
1116	7	-1503
1347	-2	-1364
1551	-12	-1182
1690	-43	-976
1784	-110	-759
1875	-237	-528
1956	-406	-275
1993	-586	-12
1993	-737	243
1966	-845	470
1876	-854	666
1727	-854	825
1543	-819	956
1371	-802	1059
