16	-45	7
22	-47	8
27	-47	8
42	-22	-8
47	-22	-14
50	-25	-20
52	-27	-27
54	-28	-31
58	-28	-34
64	-28	-39
66	-28	-47
66	-26	-57
64	-24	-67
54	-18	-74
33	-9	-79
18	-1	-83
12	3	-86
11	4	-91
14	4	-99
14	5	-109
8	6	-118
0	6	-125
-6	5	-129
-12	4	-131
-20	4	-131
-30	4	-131
-42	8	-130
-53	14	-130
-62	18	-129
-71	20	-127
-77	20	-124
-81	20	-120
-83	19	-115
-84	18	-108
-86	16	-99
-89	15	-90
-91	14	-80
-97	14	-67
-102	15	-53
-108	18	-39
-108	22	-27
-108	24	-17
-107	24	-8
-101	23	1
-95	19	10
-86	15	20
-80	15	30
-76	16	41
-73	19	53
-68	23	66
-63	23	79
-59	23	91
-46	18	98
-34	10	104
-20	2	107
-14	-2	111
-5	-6	117
0	-8	124
5	-11	132
7	-15	139
7	-19	145
8	-19	149
9	-17	151
10	-11	151
14	-6	149
18	-6	144
23	-8	134
28	-18	123
33	-28	112
35	-33	102
35	-33	94
34	-29	86
32	-19	78
30	-9	68
29	-4	54
34	-11	-48
31	-8	-60
26	-5	-71
20	-4	-81
12	-4	-91
5	-1	-99
-1	1	-107
-8	5	-114
-14	8	-120
-19	9	-126
-24	10	-130
-30	10	-132
-36	11	-133
-42	12	-133
-48	14	-132
-54	14	-130
-59	16	-127
-64	18	-123
-68	21	-119
-72	21	-114
-78	21	-108
-83	19	-103
-87	19	-97
-89	19	-89
-91	22	-79
-92	27	-67
-93	30	-54
-94	30	-41
-95	28	-30
-96	21	-19
-96	13	-8
-95	9	4
-94	7	18
-90	7	33
-86	8	47
-82	8	59
-79	7	71
-76	6	81
-71	3	89
-65	0	96
-57	-5	102
-49	-10	109
-41	-11	117
-32	-11	125
-22	-10	133
-12	-8	139
-2	-7	141
6	-5	143
14	0	144
20	8	144
24	19	144
26	28	140
27	31	130
29	31	114
32	26	97
38	18	80
41	13	66
41	13	54
40	13	46
34	15	42
