43	-15	-31
46	-15	-38
46	-14	-44
45	-11	-49
43	-6	-52
42	-2	-56
42	0	-61
41	0	-66
41	-3	-72
39	-8	-78
34	-10	-84
28	-10	-89
22	-10	-93
14	-8	-96
7	-6	-98
2	-3	-100
-3	0	-100
-9	4	-101
-16	9	-101
-22	13	-102
-27	14	-103
-30	14	-104
-33	14	-106
-38	14	-108
-45	12	-111
-53	10	-111
-63	9	-111
-70	9	-106
-76	9	-97
-84	11	-87
-91	13	-78
-99	14	-70
-101	15	-63
-102	14	-55
-103	14	-44
-103	14	-31
-104	17	-20
-105	18	-10
-105	18	-3
-105	16	3
-100	10	10
-92	5	19
-85	3	31
-81	2	44
-79	3	57
-78	5	70
-77	6	83
-74	8	94
-69	9	100
-54	9	104
-40	7	106
-25	2	108
-16	-1	111
-8	-3	115
-3	-3	121
-2	-5	124
-1	-5	124
2	-8	122
10	-15	119
21	-23	115
30	-29	113
33	-32	113
33	-33	111
32	-34	108
29	-35	101
27	-35	92
24	-35	82
23	-34	71
22	-30	60
22	-25	49
4	3	-44
4	3	-56
4	2	-69
3	2	-80
1	3	-90
-2	6	-98
-7	10	-103
-11	15	-107
-14	19	-110
-17	22	-113
-21	23	-115
-25	23	-116
-31	23	-116
-39	21	-116
-48	19	-115
-56	17	-112
-62	16	-109
-65	16	-106
-66	18	-102
-69	21	-97
-74	26	-90
-79	28	-80
-81	30	-69
-81	33	-56
-80	36	-43
-74	38	-32
-66	38	-22
-63	39	-15
-59	37	-9
-56	32	-2
-51	26	5
-50	17	16
-50	10	32
-56	7	49
-57	6	65
-57	3	77
-56	3	88
-49	1	97
-40	-2	105
-34	-2	112
-32	-2	117
-31	-2	121
-30	-2	124
-28	-2	126
-21	-4	126
-12	-5	128
-3	-5	129
6	-2	131
13	2	131
18	6	128
19	6	121
21	5	111
24	0	101
29	-4	93
36	-4	87
43	-5	83
46	-6	80
46	-6	74
45	-10	66
41	-18	56
36	-22	46
