-61	-281	2
-50	-345	-20
-25	-376	-32
-25	-376	-32
-38	-352	-30
-77	-304	-21
-121	-245	-11
-144	-186	-9
-144	-127	-9
-135	-91	-12
-97	-90	-12
-49	-90	-8
-22	-109	3
-22	-133	9
-26	-155	9
-59	-188	2
-89	-231	-10
-100	-253	-10
-100	-253	-6
-88	-255	16
-65	-255	40
-36	-255	49
0	-286	54
36	-349	57
69	-418	62
100	-467	65
137	-479	65
179	-479	59
223	-465	29
269	-435	-30
320	-394	-119
367	-349	-228
400	-318	-343
408	-301	-460
408	-280	-580
401	-242	-698
396	-185	-805
392	-116	-903
387	-39	-1008
377	33	-1129
354	93	-1258
326	134	-1373
293	157	-1472
258	175	-1558
216	189	-1633
172	208	-1691
125	229	-1727
78	260	-1749
26	295	-1751
-26	328	-1751
-79	360	-1737
-124	389	-1702
-169	411	-1653
-222	431	-1593
-286	461	-1534
-357	472	-1479
-433	472	-1425
-503	451	-1365
-569	392	-1298
-632	316	-1220
-687	226	-1127
-730	127	-1020
-764	43	-892
-796	-20	-741
-810	-39	-563
-810	-39	-368
-803	-18	-158
-788	21	68
-788	46	306
-791	61	543
-817	69	765
-853	81	974
-897	91	1171
-932	124	1352
-948	181	1511
-948	247	1639
-927	267	1725
-873	267	1751
-804	233	1751
-738	154	1713
-682	46	1627
-630	-84	1522
-578	-201	1414
-523	-238	1306
-466	-238	1181
-410	-190	1020
-337	-97	822
-255	-31	604
-155	-13	375
-63	-13	146
24	-28	-83
102	-58	-302
171	-82	-510
222	-104	-706
242	-122	-879
242	-128	-1020
220	-128	-1125
169	-110	-1199
112	-60	-1256
61	2	-1300
19	56	-1332
-22	97	-1346
-73	123	-1346
-144	133	-1336
-232	133	-1310
-332	132	-1273
-436	127	-1238
-540	122	-1207
-633	117	-1177
-716	107	-1136
-792	84	-1076
-872	67	-996
-954	67	-903
-1031	72	-807
-1090	85	-713
-1128	96	-616
-1157	96	-511
-1192	97	-397
-1236	97	-272
-1284	116	-133
-1311	146	21
-1311	176	200
-1291	206	410
-1223	262	636
-1121	347	852
-1003	418	1034
-877	444	1172
-745	444	1271
-621	413	1342
-495	348	1391
-369	265	1419
-245	186	1419
-140	135	1410
-64	117	1366
-16	117	1295
14	125	1206
34	130	1108
47	131	1001
61	137	891
77	138	789
116	154	694
167	178	610
228	185	530
282	185	456
337	162	388
387	131	345
408	101	342
408	101	342
393	111	362
355	158	382
