-73	4	46
-82	16	46
-96	10	49
-129	-5	48
-156	-20	44
-181	-23	45
-184	-23	54
-187	-7	58
-194	6	76
-209	8	94
-232	8	106
-254	-31	109
-269	-94	109
-271	-162	99
-271	-223	90
-265	-263	88
-257	-294	88
-251	-309	103
-248	-328	122
-248	-362	150
-248	-417	192
-253	-480	249
-264	-526	317
-274	-558	391
-282	-559	473
-282	-559	562
-280	-537	660
-262	-488	762
-225	-440	861
-167	-406	950
-108	-369	1028
-48	-328	1106
18	-289	1189
104	-252	1273
193	-213	1331
267	-189	1347
321	-189	1347
372	-200	1329
455	-247	1299
570	-276	1269
702	-276	1234
826	-265	1190
939	-230	1136
1050	-208	1070
1161	-199	995
1270	-190	912
1378	-180	824
1493	-156	733
1603	-133	645
1697	-116	560
1760	-96	482
1798	-79	406
1800	-64	329
1800	-44	247
1771	-1	164
1701	55	84
1609	105	8
1493	140	-67
1361	171	-151
1219	183	-244
1074	183	-340
930	164	-437
800	106	-544
686	56	-664
586	47	-794
484	47	-917
406	77	-1020
359	120	-1097
348	169	-1156
327	217	-1204
291	256	-1249
234	270	-1295
159	274	-1349
74	278	-1407
-28	285	-1463
-125	296	-1512
-219	305	-1550
-296	315	-1572
-365	336	-1574
-425	370	-1574
-486	403	-1564
-546	403	-1553
-608	399	-1544
-669	352	-1536
-728	272	-1524
-783	182	-1509
-836	96	-1489
-873	3	-1459
-902	-81	-1417
-934	-135	-1363
-981	-140	-1297
-1041	-140	-1213
-1108	-130	-1115
-1189	-130	-1014
-1249	-136	-921
-1273	-175	-823
-1273	-196	-717
-1279	-204	-608
-1278	-218	-511
-1294	-221	-426
-1337	-222	-341
-1340	-238	-254
-1330	-252	-168
-1325	-262	-89
-1271	-262	-17
-1234	-262	60
-1226	-249	136
-1221	-219	228
-1195	-168	327
-1158	-106	434
-1136	-60	531
-1056	-60	616
-1006	-79	696
-951	-132	770
-879	-180	840
-787	-180	907
-691	-178	977
-588	-156	1040
-482	-143	1088
-390	-143	1121
-332	-173	1147
-265	-202	1194
-181	-208	1234
-38	-208	1279
93	-175	1317
207	-167	1372
271	-167	1428
308	-168	1467
326	-168	1481
335	-148	1481
355	-65	1471
388	25	1445
433	78	1405
489	84	1347
545	86	1265
594	72	1159
628	59	1039
649	48	917
660	32	802
666	27	698
668	27	606
667	43	524
654	68	441
622	93	348
568	113	244
509	113	148
453	111	82
411	108	45
