16	-207	192
-8	-207	200
-40	-230	218
-75	-239	246
-126	-251	278
-168	-296	303
-215	-370	322
-263	-444	340
-348	-490	361
-430	-532	369
-511	-559	369
-568	-574	335
-614	-591	278
-622	-579	207
-622	-558	142
-603	-532	63
-568	-468	-24
-528	-385	-110
-492	-307	-185
-468	-236	-258
-448	-172	-336
-432	-104	-422
-416	-36	-511
-398	28	-606
-365	94	-710
-310	161	-818
-242	219	-914
-166	252	-992
-92	283	-1067
-29	333	-1154
26	371	-1254
70	371	-1366
126	362	-1485
190	279	-1594
272	163	-1657
357	58	-1657
448	35	-1650
521	35	-1582
576	101	-1473
620	222	-1349
680	311	-1233
759	311	-1139
861	302	-1069
959	212	-1018
1041	75	-976
1106	-22	-938
1172	-85	-893
1242	-100	-830
1306	-100	-745
1367	-106	-647
1416	-109	-545
1464	-121	-450
1526	-174	-362
1594	-266	-270
1636	-361	-164
1639	-420	-45
1644	-422	76
1637	-422	196
1628	-396	316
1605	-384	439
1565	-384	568
1487	-384	703
1399	-384	831
1305	-374	946
1229	-361	1054
1145	-357	1167
1040	-357	1292
920	-383	1412
799	-425	1523
684	-479	1619
563	-537	1714
439	-604	1811
307	-675	1908
180	-718	2006
47	-718	2091
-77	-710	2154
-196	-642	2186
-307	-579	2198
-427	-571	2206
-561	-571	2225
-712	-643	2241
-865	-680	2241
-1012	-680	2240
-1141	-652	2204
-1263	-526	2138
-1396	-360	2044
-1570	-163	1932
-1731	10	1818
-1891	66	1732
-1966	66	1671
-1976	58	1610
-1976	43	1512
-1902	43	1372
-1794	97	1190
-1700	141	975
-1653	161	720
-1616	163	448
-1579	163	179
-1559	163	-54
-1496	215	-240
-1406	318	-378
-1309	459	-482
-1212	589	-565
-1133	695	-647
-1052	790	-729
-967	834	-827
-896	842	-931
-862	842	-1050
-788	811	-1170
-729	796	-1291
-675	780	-1396
-615	739	-1476
-551	683	-1529
-468	617	-1561
-377	598	-1574
-287	598	-1574
-214	603	-1569
-147	603	-1548
-83	598	-1508
-47	530	-1443
-16	428	-1350
4	348	-1246
22	316	-1127
76	305	-997
106	291	-841
117	291	-668
117	309	-490
110	372	-323
110	473	-169
121	555	-29
144	603	95
151	621	204
151	635	299
