-234	-154	-172
-278	-101	-136
-278	-53	-117
-234	-23	-117
-131	-23	-127
47	-107	-127
181	-321	-105
248	-596	-30
248	-768	75
244	-768	137
215	-766	180
196	-626	218
187	-422	274
188	-217	333
214	-9	359
304	181	359
443	233	351
594	233	323
749	174	284
895	39	238
1017	-7	190
1082	-7	158
1086	52	139
1086	210	115
1081	396	71
1081	498	-9
1122	498	-137
1242	475	-296
1410	339	-444
1576	217	-553
1668	173	-623
1668	173	-675
1656	214	-722
1562	267	-775
1442	290	-827
1319	293	-873
1206	293	-924
1101	265	-986
1003	200	-1046
894	147	-1092
767	135	-1135
633	135	-1167
508	178	-1189
397	216	-1197
305	218	-1217
235	218	-1249
184	166	-1292
145	46	-1341
109	-125	-1353
50	-319	-1353
-48	-414	-1325
-197	-414	-1254
-380	-390	-1175
-574	-236	-1092
-760	-54	-1038
-914	51	-1034
-1011	51	-1034
-1055	16	-1071
-1066	-143	-1076
-1091	-312	-1076
-1138	-370	-1019
-1220	-370	-894
-1334	-316	-749
-1474	-159	-616
-1599	23	-524
-1651	151	-480
-1651	163	-471
-1623	163	-469
-1556	75	-466
-1519	-40	-461
-1515	-114	-432
-1515	-150	-374
-1533	-150	-302
-1552	-126	-235
-1568	-91	-173
-1582	-55	-98
-1603	-36	-6
-1638	-27	86
-1646	-28	165
-1646	-28	235
-1638	-62	314
-1587	-120	404
-1543	-173	520
-1538	-173	666
-1538	-166	815
-1560	-123	914
-1568	-135	945
-1568	-144	957
-1476	-300	962
-1331	-542	992
-1203	-680	1074
-1136	-680	1205
-1115	-623	1344
-1100	-392	1457
-1072	-174	1503
-1034	-125	1503
-992	-125	1489
-874	-222	1429
-754	-336	1372
-604	-339	1304
-482	-339	1223
-336	-292	1132
-203	-238	1050
-109	-192	961
-56	-144	835
-19	-123	693
34	-103	558
124	-83	432
218	-63	299
291	-3	153
334	77	0
373	146	-162
418	212	-327
471	238	-483
530	238	-622
588	229	-736
626	185	-823
629	166	-894
629	166	-952
583	179	-999
514	220	-1025
438	279	-1039
367	361	-1058
325	447	-1093
325	487	-1141
327	487	-1189
364	455	-1234
391	385	-1279
391	337	-1323
387	337	-1355
346	362	-1385
282	422	-1424
225	464	-1473
189	470	-1514
175	470	-1548
159	455	-1581
130	428	-1609
92	381	-1610
69	310	-1610
67	200	-1564
67	98	-1475
71	52	-1362
71	52	-1249
68	78	-1141
50	118	-1029
31	129	-915
7	129	-808
-8	116	-710
-9	81	-612
-9	41	-510
3	-3	-408
11	-32	-307
11	-40	-215
-3	-40	-137
-40	-22	-77
-67	-3	-28
-67	-3	18
-63	-13	65
-31	-30	109
1	-40	146
12	-49	173
12	-50	186
1	-48	189
-20	-47	193
-34	-42	200
-34	-14	218
-34	30	247
-25	78	261
-14	112	261
9	112	248
40	100	223
75	67	198
102	58	184
138	58	169
171	61	163
196	71	163
