-100	-382	-206
-100	-336	-216
-94	-259	-216
-100	-181	-193
-100	-137	-147
-106	-133	-87
-111	-151	-67
-111	-151	-67
-78	-184	-64
-46	-216	-69
-43	-228	-69
-42	-228	-57
-55	-216	-36
-55	-216	-16
-51	-216	-3
-11	-248	0
41	-275	0
96	-275	-4
133	-292	-1
150	-286	3
156	-286	29
165	-287	64
174	-315	92
184	-346	112
190	-359	146
190	-359	203
180	-331	287
168	-295	394
168	-272	527
182	-272	672
216	-280	827
253	-306	981
286	-359	1136
328	-410	1276
380	-446	1402
431	-471	1520
469	-498	1620
489	-541	1694
496	-604	1743
498	-666	1775
496	-690	1800
491	-690	1816
484	-695	1828
475	-678	1828
450	-658	1816
422	-645	1769
408	-638	1689
408	-638	1600
426	-631	1512
459	-623	1423
471	-583	1328
471	-505	1226
448	-402	1113
407	-329	1000
377	-278	892
356	-259	793
334	-234	689
306	-213	569
286	-213	431
278	-217	295
257	-226	185
205	-243	105
121	-248	51
28	-248	8
-57	-248	-26
-119	-249	-53
-167	-252	-57
-208	-261	-57
-253	-274	-44
-303	-285	-24
-350	-301	-24
-390	-338	-24
-418	-391	-25
-445	-412	-25
-485	-412	-10
-557	-378	34
-653	-316	99
-749	-281	171
-813	-281	240
-828	-285	294
-828	-297	336
-818	-302	378
-799	-309	426
-783	-320	481
-756	-315	534
-723	-311	579
-690	-267	608
-656	-185	626
-624	-106	634
-599	-65	635
-589	-59	635
-567	-59	621
-512	-63	589
-414	-63	541
-293	-44	482
-173	-13	418
-71	0	362
-6	16	318
4	28	278
28	63	206
42	137	114
48	184	37
111	197	-44
207	219	-143
289	219	-273
308	244	-379
308	291	-462
266	313	-538
225	313	-622
192	321	-708
168	332	-794
138	364	-856
89	430	-901
22	490	-938
-44	524	-990
-94	538	-1058
-137	546	-1128
-187	553	-1182
-257	560	-1220
-332	560	-1245
-412	549	-1261
-488	516	-1269
-564	471	-1279
-646	416	-1298
-725	355	-1322
-814	287	-1322
-885	235	-1319
-961	210	-1269
-1028	202	-1169
-1091	193	-1049
-1136	167	-930
-1158	109	-826
-1170	31	-737
-1174	-12	-647
-1174	-33	-532
-1159	-33	-359
-1055	-16	-203
-934	29	-51
-812	38	81
-779	38	231
-699	3	353
-600	-74	430
-482	-124	488
-402	-166	545
-332	-245	602
-270	-366	671
-228	-449	734
-156	-482	778
-66	-482	805
45	-471	843
125	-471	905
192	-483	975
239	-508	1026
272	-552	1058
304	-575	1087
341	-575	1128
356	-526	1170
377	-422	1198
395	-298	1231
403	-240	1256
436	-240	1255
468	-279	1250
524	-384	1160
599	-384	1014
668	-384	888
713	-258	849
752	-50	849
804	106	906
873	270	1016
926	473	1135
975	654	1176
1001	730	1176
1034	730	1108
1071	673	912
1140	546	679
1190	425	464
1214	407	313
1214	407	219
1178	496	170
1117	656	166
1047	783	163
1021	833	159
1021	833	147
985	791	97
984	671	-2
932	516	-108
829	386	-200
712	282	-261
572	217	-286
405	162	-293
236	100	-301
83	22	-294
-69	-64	-279
-172	-82	-263
-229	-91	-231
-245	-92	-179
